8.929632089931466226e+02,6.343896860089571419e+02,4.855687334739062635e+02,4.060700089417797471e+02,3.638206261935522434e+02,3.396370659217373600e+02,3.202578524633869961e+02,3.089338349412804519e+02,2.970111721557992155e+02,2.856822960498082011e+02
4.180295393237034318e+02,2.787336789421788126e+02,2.381182159217886465e+02,2.131454992745021570e+02,1.942299685315945510e+02,1.815259926642064272e+02,1.686427858754550471e+02,1.560540254438941474e+02,1.495980955194035289e+02,1.432974963719881885e+02
9.339488389855148398e+02,6.058097765661124185e+02,4.433237840864698569e+02,3.806339596363134206e+02,3.518120465429669252e+02,3.310342017939227048e+02,3.109294983913143824e+02,2.951250539164684596e+02,2.844361328304408971e+02,2.744153212325743425e+02
2.741053204344542337e+03,1.047576478908250920e+03,7.469714953346573338e+02,5.524991381868857161e+02,4.626356188106043987e+02,4.057543152694422588e+02,3.725607899725704897e+02,3.447480036065770150e+02,3.229989986245519162e+02,3.067909868629529910e+02
2.713751098321209838e+02,2.424996316063064796e+02,2.269613065438432500e+02,2.043939577020884713e+02,1.949497665664652573e+02,1.873984767632380795e+02,1.810292799262923609e+02,1.763011264571698007e+02,1.707808003266595165e+02,1.670805834989488972e+02
1.818525967601832008e+03,7.118222668400348994e+02,5.932713156091581368e+02,4.864478032236557965e+02,4.296279232001541004e+02,4.022035706700036144e+02,3.732840550912129061e+02,3.537355174298315887e+02,3.392956495822721763e+02,3.285414511627740239e+02
7.963527630078108359e+02,3.352394503598838469e+02,2.942557183120628110e+02,2.515115960877872396e+02,2.173534981356692981e+02,2.021542785520930465e+02,1.926770713141221734e+02,1.850265771181020682e+02,1.777913424518395118e+02,1.704046994169637799e+02
1.928948097761700069e+02,1.666812418112500040e+02,1.470080250282268537e+02,1.357077483155362643e+02,1.281491212598141374e+02,1.223497220253127580e+02,1.177883617054601615e+02,1.141455217447432346e+02,1.100947477833870778e+02,1.076848658518379409e+02
3.821133357295535689e+02,3.040510285975650504e+02,2.393085453806241105e+02,2.103392003491101150e+02,1.942428152920091122e+02,1.797400543486267566e+02,1.729264728706517076e+02,1.667364515090779378e+02,1.614592177464256224e+02,1.561210026190765348e+02
6.805026631414973508e+02,3.239432032381231465e+02,2.482395781539232757e+02,2.275404535109085487e+02,2.073929944070186480e+02,1.942438634870196097e+02,1.861257694211987257e+02,1.793892317987542810e+02,1.733317087731873585e+02,1.665086557387142534e+02
